Apps,Platform,Category,# Actions,# Activities,# Screens,Content Labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language
FBC Snyder,React Native,EDUCATION,129,5,59,8,18,8,10,false,true,true,false,true,0A16E4AC73D480366809720A6106768B5757027F4BFFFDFC8D6E1932D200FBB4,ing
Kel Allah,React Native,EDUCATION,152,5,59,4,12,7,8,true,true,true,false,true,0A831AC56C73D81FE553C904AD1607ADEF198D3A9DD7CE72E01E99D5BF79AE22,ing
TheRockKzoo,React Native,EDUCATION,179,8,61,9,21,7,16,true,true,true,true,true,1C7A667B1AF084F38719917895764C61FDDE889184949C960E0C229706E611E5,ing
Centerpoint,React Native,EDUCATION,107,7,62,10,18,6,26,true,true,true,false,true,1E1BD062D74D7365B0108A17181DA0589C148672D379E630B3A6D4C6715F0C57,ing
SeaCoast,React Native,LIFESTYLE,146,5,62,6,21,4,15,true,true,true,false,true,0A49F76A7DB023EAD2BBA17F5677B9CB417EA784D18A02B2DD19EFD26E958B34,ing
BethelCburg,React Native,EDUCATION,189,7,63,8,19,4,13,true,true,true,false,true,1DADFBAC2CEA8FB2380C4EF5ABCFDF650E698680FBB906B844EE7DBAE73075E2,ing
Anthem,React Native,LIFESTYLE,117,5,65,4,16,4,15,true,true,true,false,true,1B1FBD7F3AC1A5DC1BCF61F320B7A71F25689F67E3B8F5031C86EC83A4D8BF37,ing
PHBC,React Native,LIFESTYLE,137,6,67,9,24,9,21,true,true,true,false,true,4AD0F0A2E04685195BE5590DFAD470448840B1D6BC95DB946D0944BE7164A8E1,ing
Grace Bible,React Native,EDUCATION,118,5,68,5,12,2,14,true,true,true,false,true,4B150E5D9B0CC7729C4FA312C9DD91649C123996FC4C6A554F7DC58360F50DB6,ing
Preston Trl,React Native,EDUCATION,149,6,69,9,19,7,15,true,true,true,false,true,1E96F85475BAE7E64B4BCD129AA5F51DBF2695CE10A7D32AC45B4A017C58AEFB,ing
MIQLAT,React Native,LIFESTYLE,95,6,70,2,1,5,0,false,false,true,false,true,2A76B5AAD9C9B1416E87ED26864A33B627FF27BB9E0D2459131DFF3C371B5F54,ing
WFYT,React Native,EDUCATION,176,5,73,6,16,4,23,false,true,true,true,true,0C1921643A30882B2D97C499C6076E799C6A39E510CC7B77F95BE4181496E078,ing
微信读书,React Native,BOOKS_AND_REFERENCE,232,1,85,5,5,9,10,false,true,false,true,true,C0448B1E4EC1BF900A7C9F09A49B38E9117591B7B33CC3411718D4D33B120958,ing
