Apps,Platform,Category,# Actions,# Activities,# Screens,Content labeling,Implementation,Touch target size,Low contrast,Unnecessary text,Not readable,Items have the same description,Items share same location,Text Scaling,APK Name,Language,Considered
Career Endeavour,Ionic,EDUCATION,151,2,116,2,0,1,0,false,false,false,false,false,F735E9E1014A33C1E16568302774BCA820058F766AF684770B160AD2E3F83C3C,ing,yes
Streams,React Native,EDUCATION,157,6,127,11,18,8,14,true,true,true,false,true,1CA562D05EF65584117B55D089B5F9A9B156920650C2C6FCD3EBCBF49BA3FE39,ing,yes
MyAHUMC,React Native,EDUCATION,142,5,135,5,13,6,7,true,true,true,false,true,04A6C97A911065F1D0DAF0D9C696DDE41A407C945494BEEBEADDADAC80837A38,ing,yes
The Refuge,React Native,LIFESTYLE,163,7,142,3,7,4,14,true,true,true,false,true,4A3ECC48252BC5C25E82391449C70D0CD10BF82C55167FAFC6B5D61077FFF0DE,ing,yes
Deaf Church,React Native,EDUCATION,161,5,145,7,18,7,12,true,true,true,false,true,4A5B2599DB492F01A4753181C26B094C304274E9111C83C30C696B919E87255E,ing,yes
Aniprev,React Native,LIFESTYLE,8,1,5,0,0,0,0,false,false,false,false,false,02AB61CDE3F5FE89F28FFE9883F21BD9D8069D175BD9CFE26441E50E38C17932,ing,yes
Sequoia,React Native,EDUCATION,15,1,6,0,0,1,0,false,false,true,false,true,2DEA1567CA97D4C74EEA444EDDA24025AB83121494388CA912033586221C4397,ing,yes
FBT,React Native,LIFESTYLE,12,1,6,0,1,1,0,false,false,true,false,true,2D12591688898C0A39F891355048829C5D21E33DAB6A058E9E29C3F483AA9EB6,ing,yes
Vachnamrut,Ionic,EDUCATION,17,1,7,0,0,0,0,false,false,false,false,false,BAD1DB82331A278C7EC17E4A84C14C34335C4E801DB31D89058E39A223E62CD2,ing,yes
CFC,React Native,LIFESTYLE,16,2,8,1,1,0,0,false,false,false,false,true,02B50BC29601FF8FE896294738647B465C4986065E05C1B872EA9FD7F1E95AFA,ing,yes
FTOP,React Native,LIFESTYLE,19,1,9,4,11,3,8,true,true,true,false,true,1AA03A58CEFD3F349E86A37D082840A152516741C09BF14AFA12AFE29EB264D7,ing,yes
Hydraulics,Ionic,BOOKS_AND_REFERENCE,33,1,15,0,0,0,0,false,false,false,false,false,1BAE42CE2224E1CDD6813FEF5E3DE7FD5DBB91AD24FED69B428F1CCFD35C2FCB,ing,yes
